,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,solana,tron,staked-ether,dogecoin
2025-04-21 07:00:00,1736836279219.3982,199065871633.95996,144631875473.75836,88397264930.76076,124337449446.5383,60892660356.40328,72832600154.62862,23231510190.83676,15279402395.85986,24124912804.632557
2025-04-21 08:00:00,1736558169218.7964,198725086364.1268,144619726205.44623,88159980018.69551,124222248313.32652,60897729789.2569,72614348084.66197,23315372511.888943,15256305024.158978,24156648106.973194
2025-04-21 09:00:00,1739408187537.8962,199002410259.1696,144625719324.16568,88305319362.32054,124805544699.60663,60891308058.63822,72750525634.46935,23264967425.715282,15279566859.331985,24136264881.70463
2025-04-21 10:00:00,1736958352401.776,198265377631.42075,144629979731.6231,88154938595.50174,124255212381.4474,60883211606.48388,72416108122.29637,23099789234.08187,15232850489.684725,24180565178.358482
2025-04-21 11:00:00,1734164511952.8972,197241321740.22232,144626106212.3537,88009136685.88081,124245706652.86855,60877206677.58994,72307338763.28337,23108281062.891464,15146620317.550432,24121101016.387688
2025-04-21 12:00:00,1726200002598.4736,196179596688.3404,144626078550.86304,87649390621.02547,123660415974.47676,60879014975.35339,71904395398.7737,23028925574.01589,15075524863.465887,24062794869.541
2025-04-21 13:00:00,1728927741286.6418,196094018394.2686,144628549051.0881,87749827904.52826,123390160268.2919,60882409614.70526,71475815926.1173,23002926689.04552,15052009961.945894,24011858865.500706
2025-04-21 14:00:00,1734618492611.6084,195791122459.31876,144637031696.7428,87916067858.0409,123515589802.4914,60878607115.557816,71403044040.09631,22972738407.683235,14991130537.861332,24026097503.841362
2025-04-21 15:00:00,1748941429160.1885,196606753612.4438,144658543123.80676,88089761711.07867,124246168897.73686,60913129032.791885,72099458402.08264,23075880823.400585,15114713839.852165,24070121072.09847
2025-04-21 16:00:00,1748407937588.4556,195883211299.9705,144680136708.3036,88125672906.54355,123550228252.51112,60913611478.8106,71460339474.97282,23129302637.98818,15034453981.73383,23916955583.95397
2025-04-21 17:00:00,1734611966114.4485,193231810813.27814,144652830638.37363,87565686399.64865,122179392238.75983,60933994046.27216,70381957205.74103,23106747631.464527,14803955513.21033,23541502002.74238
2025-04-21 18:00:00,1726069731393.8,190911394750.91583,144645824483.54333,86966419461.80254,121208855599.07397,60952205649.14878,69710987437.53241,23094139935.053444,14631811185.873888,23421640489.97796
2025-04-21 19:00:00,1724187368943.985,189677161298.10583,144648114898.47986,87133141602.75789,120943228389.49268,60966909511.44536,69943604358.66115,23229510402.820667,14546095565.182484,23370530486.57596
2025-04-21 20:00:00,1734330690615.4822,190247228554.49594,144644110107.76898,87234626759.0549,121895379101.68716,60980567674.01732,70658570578.36954,23278454345.64195,14591399715.885572,23611100728.04222
2025-04-21 21:00:00,1732144742136.0881,190156925956.20288,144632634737.4455,87045011697.39029,121630245482.71611,60977536889.69773,70807964548.41658,23346901974.80075,14592213121.060608,23546084077.808273
2025-04-21 22:00:00,1732443419867.965,190465851972.76224,144634350489.92163,87031875610.5223,121393763740.66058,60962604516.08434,70717750316.91493,23326811810.576183,14607136770.262306,23627671794.567184
2025-04-21 23:00:00,1729717267456.5078,190374931633.16333,144636115650.20828,87051675165.58893,121137009335.24751,60928357864.16592,70425439242.6246,23402386236.350563,14599377569.967342,23598649401.228065
2025-04-22 00:00:00,1737318769836.1663,190565850488.98645,144627697414.025,87112007554.33519,121692527452.5701,60933370328.87992,70491577397.05385,23396214976.13106,14629607597.61149,23711302917.88182
2025-04-22 01:00:00,1736748258355.5137,188648532470.57437,144725406155.24207,87267120400.38551,121256504083.53046,60929100745.68488,70485557511.02448,23446969292.883083,14492812154.227318,23643794751.5006
2025-04-22 02:00:00,1755654305286.7122,191485600785.13892,144730869106.91385,87812391112.89644,122363675865.70248,60931081009.378075,71962705630.53934,23378911277.253185,14686259731.63731,24099278504.906345
2025-04-22 03:00:00,1749229490364.2463,190159086401.41135,144734342583.44467,87445544678.97122,121699075044.03822,60905148388.76018,71844098971.62051,23357925934.235844,14602308835.314688,23843641345.85373
2025-04-22 04:00:00,1750647130673.2324,190646464890.8265,144731573878.3392,87530586668.85435,121624940517.73436,60903027784.705574,72059668752.53453,23366610189.58411,14617386749.836906,23938039615.15763
